# command: ss -lntup 2>/dev/null || netstat -lntup 2>/dev/null || true

Netid State  Recv-Q Send-Q Local Address:Port Peer Address:PortProcess                                                                                                                                                                                                                
udp   UNCONN 0      0                  *:9094            *:*    users:(("alertmanager",pid=341,fd=6))                                                                                                                                                                                 
tcp   LISTEN 0      100        127.0.0.1:25        0.0.0.0:*    users:(("master",pid=292,fd=13))                                                                                                                                                                                      
tcp   LISTEN 0      4096       127.0.0.1:8082      0.0.0.0:*    users:(("ruby",pid=457,fd=10))                                                                                                                                                                                        
tcp   LISTEN 0      4096       127.0.0.1:8150      0.0.0.0:*    users:(("gitlab-kas",pid=336,fd=9))                                                                                                                                                                                   
tcp   LISTEN 0      4096       127.0.0.1:8151      0.0.0.0:*    users:(("gitlab-kas",pid=336,fd=12))                                                                                                                                                                                  
tcp   LISTEN 0      4096       127.0.0.1:8153      0.0.0.0:*    users:(("gitlab-kas",pid=336,fd=11))                                                                                                                                                                                  
tcp   LISTEN 0      4096       127.0.0.1:8154      0.0.0.0:*    users:(("gitlab-kas",pid=336,fd=10))                                                                                                                                                                                  
tcp   LISTEN 0      4096       127.0.0.1:8155      0.0.0.0:*    users:(("gitlab-kas",pid=336,fd=7))                                                                                                                                                                                   
tcp   LISTEN 0      511          0.0.0.0:80        0.0.0.0:*    users:(("nginx",pid=397,fd=7),("nginx",pid=396,fd=7),("nginx",pid=395,fd=7),("nginx",pid=394,fd=7),("nginx",pid=393,fd=7),("nginx",pid=392,fd=7),("nginx",pid=391,fd=7),("nginx",pid=390,fd=7),("nginx",pid=337,fd=7))
tcp   LISTEN 0      4096       127.0.0.1:9236      0.0.0.0:*    users:(("gitaly",pid=416,fd=9),("gitaly",pid=416,fd=8))                                                                                                                                                               
tcp   LISTEN 0      4096       127.0.0.1:9229      0.0.0.0:*    users:(("gitlab-workhors",pid=338,fd=3))                                                                                                                                                                              
tcp   LISTEN 0      4096       127.0.0.1:9093      0.0.0.0:*    users:(("alertmanager",pid=341,fd=7))                                                                                                                                                                                 
tcp   LISTEN 0      4096       127.0.0.1:9090      0.0.0.0:*    users:(("prometheus",pid=332,fd=6))                                                                                                                                                                                   
tcp   LISTEN 0      4096       127.0.0.1:9100      0.0.0.0:*    users:(("node_exporter",pid=323,fd=3))                                                                                                                                                                                
tcp   LISTEN 0      4096       127.0.0.1:9121      0.0.0.0:*    users:(("redis_exporter",pid=318,fd=3))                                                                                                                                                                               
tcp   LISTEN 0      4096       127.0.0.1:9168      0.0.0.0:*    users:(("gitlab-exporter",pid=340,fd=6))                                                                                                                                                                              
tcp   LISTEN 0      4096       127.0.0.1:9187      0.0.0.0:*    users:(("postgres_export",pid=329,fd=3))                                                                                                                                                                              
tcp   LISTEN 0      511          0.0.0.0:8060      0.0.0.0:*    users:(("nginx",pid=397,fd=8),("nginx",pid=396,fd=8),("nginx",pid=395,fd=8),("nginx",pid=394,fd=8),("nginx",pid=393,fd=8),("nginx",pid=392,fd=8),("nginx",pid=391,fd=8),("nginx",pid=390,fd=8),("nginx",pid=337,fd=8))
tcp   LISTEN 0      4096               *:9094            *:*    users:(("alertmanager",pid=341,fd=3))                                                                                                                                                                                 
tcp   LISTEN 0      4096           [::1]:9168         [::]:*    users:(("gitlab-exporter",pid=340,fd=5))                                                                                                                                                                              
tcp   LISTEN 0      4096               *:22              *:*    users:(("sshd",pid=135,fd=3),("systemd",pid=1,fd=39))                                                                                                                                                                 
tcp   LISTEN 0      100            [::1]:25           [::]:*    users:(("master",pid=292,fd=14))                                                                                                                                                                                      
