# command: if command -v dpkg-query >/dev/null 2>&1; then dpkg-query -W 2>/dev/null | sort; elif command -v pacman >/dev/null 2>&1; then pacman -Q 2>/dev/null | sort; elif command -v apk >/dev/null 2>&1; then apk info -vv 2>/dev/null | sort; elif command -v opkg >/dev/null 2>&1; then opkg list-installed 2>/dev/null | sort; fi || true

adduser	3.134
adwaita-icon-theme	43-1
ant	1.10.13-1
apparmor	3.0.8-3
apt	2.6.1
apt-listchanges	3.24
apt-transport-https	2.6.1
apt-utils	2.6.1
assistant-qt6	6.4.2~rc1-2
at-spi2-common	2.46.0-5
base-files	12.4+deb12u12
base-passwd	3.6.1
bash	5.2.15-2+b13
bash-completion	1:2.11-6
bind9-dnsutils	1:9.18.33-1~deb12u2
bind9-host	1:9.18.33-1~deb12u2
bind9-libs:amd64	1:9.18.33-1~deb12u2
binutils	2.40-2
binutils-common:amd64	2.40-2
binutils-x86-64-linux-gnu	2.40-2
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
ca-certificates-java	20230710~deb12u1
cargo	0.66.0+ds1-1
chromium	149.0.7827.102-1~deb12u1
chromium-common	149.0.7827.102-1~deb12u1
clojure	1.11.1-2
containerd.io	2.2.3-1~debian.12~bookworm
coq	8.16.1+dfsg-1+b2
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
crystal	1.6.0+dfsg-3
curl	7.88.1-10+deb12u14
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dconf-gsettings-backend:amd64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debconf-i18n	1.5.82
debian-archive-keyring	2023.3+deb12u2
debian-faq	11.1
debianutils	5.7-0.5~deb12u1
default-jre-headless	2:1.17-74
designer-qt6	6.4.2~rc1-2
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
distro-info-data	0.58+deb12u5
dmidecode	3.4-1
dmsetup	2:1.02.185-2
doc-debian	11.3+nmu1
docker-buildx-plugin	0.34.0-1~debian.12~bookworm
docker-ce	5:29.5.0-1~debian.12~bookworm
docker-ce-cli	5:29.5.0-1~debian.12~bookworm
docker-ce-rootless-extras	5:29.5.0-1~debian.12~bookworm
docker-compose-plugin	5.1.3-1~debian.12~bookworm
docker-model-plugin	1.1.37-1~debian.12~bookworm
dpkg	1.21.22
e2fsprogs	1.47.0-2+b2
elixir	1.14.0.dfsg-2
erlang-asn1	1:25.2.3+dfsg-1+deb12u4
erlang-base	1:25.2.3+dfsg-1+deb12u4
erlang-crypto	1:25.2.3+dfsg-1+deb12u4
erlang-dev	1:25.2.3+dfsg-1+deb12u4
erlang-ftp	1:25.2.3+dfsg-1+deb12u4
erlang-inets	1:25.2.3+dfsg-1+deb12u4
erlang-mnesia	1:25.2.3+dfsg-1+deb12u4
erlang-parsetools	1:25.2.3+dfsg-1+deb12u4
erlang-public-key	1:25.2.3+dfsg-1+deb12u4
erlang-runtime-tools	1:25.2.3+dfsg-1+deb12u4
erlang-ssl	1:25.2.3+dfsg-1+deb12u4
erlang-tftp	1:25.2.3+dfsg-1+deb12u4
erlang-tools	1:25.2.3+dfsg-1+deb12u4
eslint	6.4.0~dfsg+~6.1.9-7
fdisk	2.38.1-5+deb12u3
file	1:5.44-3
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
fonts-freefont-ttf	20120503-10
fonts-ipafont-gothic	00303-23
fonts-liberation	1:1.07.4-11
fonts-noto-color-emoji	2.042-0+deb12u1
fonts-tlwg-loma-otf	1:0.7.3-1
fonts-unifont	1:15.0.01-2
fonts-wqy-zenhei	0.9.45-8
fp-compiler-3.2.2:amd64	3.2.2+dfsg-20
fp-docs-3.2.2	3.2.2+dfsg-20
fp-ide-3.2.2	3.2.2+dfsg-20
fp-units-base-3.2.2:amd64	3.2.2+dfsg-20
fp-units-db-3.2.2:amd64	3.2.2+dfsg-20
fp-units-fcl-3.2.2:amd64	3.2.2+dfsg-20
fp-units-fv-3.2.2:amd64	3.2.2+dfsg-20
fp-units-gfx-3.2.2:amd64	3.2.2+dfsg-20
fp-units-gtk2-3.2.2:amd64	3.2.2+dfsg-20
fp-units-math-3.2.2:amd64	3.2.2+dfsg-20
fp-units-misc-3.2.2:amd64	3.2.2+dfsg-20
fp-units-multimedia-3.2.2:amd64	3.2.2+dfsg-20
fp-units-net-3.2.2:amd64	3.2.2+dfsg-20
fp-units-rtl-3.2.2:amd64	3.2.2+dfsg-20
fp-utils-3.2.2	3.2.2+dfsg-20
fpc	3.2.2+dfsg-20
fpc-3.2.2	3.2.2+dfsg-20
fpc-source-3.2.2	3.2.2+dfsg-20
g++	4:12.2.0-3
g++-12	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:amd64	12.2.0-14+deb12u1
gettext-base	0.21-12
gfortran	4:12.2.0-3
gfortran-12	12.2.0-14+deb12u1
gh	2.23.0+dfsg1-1
ghc	9.0.2-4
gir1.2-atk-1.0:amd64	2.46.0-5
gir1.2-freedesktop:amd64	1.74.0-3
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-1+deb12u4
gir1.2-glib-2.0:amd64	1.74.0-3
gir1.2-gtk-2.0:amd64	2.24.33-2+deb12u1
gir1.2-harfbuzz-0.0:amd64	6.0.0+dfsg-3
gir1.2-pango-1.0:amd64	1.50.12+ds-1
git	1:2.39.5-0+deb12u3
git-man	1:2.39.5-0+deb12u3
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
godot3-server	3.2.3-stable-1+b3
golang-1.19-go	1.19.8-2
golang-1.19-src	1.19.8-2
golang-go:amd64	2:1.19~1
golang-src	2:1.19~1
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
graphviz	2.42.2-7+deb12u1
grep	3.8-5
groff-base	1.22.4-10
gtk-update-icon-cache	3.24.38-2~deb12u3
gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1
handlebars	3:4.7.7+~4.1.0-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
ibverbs-providers:amd64	44.0-2
icu-devtools	72.1-3+deb12u1
ifupdown	0.8.41
inetutils-telnet	2:2.4-2+deb12u1
init	1.65.2+deb12u1
init-system-helpers	1.65.2+deb12u1
iproute2	6.1.0-3
iptables	1.8.9-2
iputils-ping	3:20221126-1+deb12u1
isc-dhcp-client	4.4.3-P1-2
isc-dhcp-common	4.4.3-P1-2
java-common	0.74
java-wrappers	0.4
jq	1.6-2.1+deb12u1
kmod	30+20221128-1
kotlin	1.3.31+ds1-1
krb5-locales	1.20.1-2+deb12u4
less	590-2.1~deb12u2
libabsl20220623:amd64	20220623.1-1+deb12u2
libacl1:amd64	2.3.1-3
libaec0:amd64	1.0.6-1+b1
libamd2:amd64	1:5.12.0+dfsg-2
libann0	1.1.2+doc-9+b1
libaom3:amd64	3.6.0-1+deb12u2
libaopalliance-java	20070526-7
libapache-pom-java	29-2
libapparmor1:amd64	3.0.8-3
libapt-pkg6.0:amd64	2.6.1
libarchive13:amd64	3.6.2-1+deb12u4
libargon2-1:amd64	0~20171227-0.3+deb12u1
libarpack2:amd64	3.8.0-3
libasan8:amd64	12.2.0-14+deb12u1
libasm-java	9.4-1
libasound2-data	1.2.8-1
libasound2:amd64	1.2.8-1+b1
libassuan0:amd64	2.5.5-5
libasyncns0:amd64	0.8-6+b3
libatinject-jsr330-api-java	1.0+ds1-5
libatk-bridge2.0-0:amd64	2.46.0-5
libatk1.0-0:amd64	2.46.0-5
libatk1.0-dev:amd64	2.46.0-5
libatomic1:amd64	12.2.0-14+deb12u1
libatspi2.0-0:amd64	2.46.0-5
libattr1:amd64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:amd64	1:3.0.9-1
libavahi-client3:amd64	0.8-10+deb12u1
libavahi-common-data:amd64	0.8-10+deb12u1
libavahi-common3:amd64	0.8-10+deb12u1
libavif15:amd64	0.11.1-1+deb12u1
libb2-1:amd64	0.98.1-1.1
libbatik-java	1.16+dfsg-1+deb12u1
libbinutils:amd64	2.40-2
libblas3:amd64	3.11.0-2
libblkid-dev:amd64	2.38.1-5+deb12u3
libblkid1:amd64	2.38.1-5+deb12u3
libbpf1:amd64	1:1.1.2-0+deb12u1
libbrotli-dev:amd64	1.0.9-2+b6
libbrotli1:amd64	1.0.9-2+b6
libbsd-dev:amd64	0.11.7-2
libbsd0:amd64	0.11.7-2
libbsh-java	2.0b4-20
libbtf1:amd64	1:5.12.0+dfsg-2
libbz2-1.0:amd64	1.0.8-5+b1
libc-ares2:amd64	1.18.1-3
libc-bin	2.36-9+deb12u14
libc-dev-bin	2.36-9+deb12u14
libc-devtools	2.36-9+deb12u14
libc-l10n	2.36-9+deb12u14
libc6-dev:amd64	2.36-9+deb12u14
libc6:amd64	2.36-9+deb12u14
libcairo-gobject2:amd64	1.16.0-7
libcairo-script-interpreter2:amd64	1.16.0-7
libcairo2-dev:amd64	1.16.0-7
libcairo2:amd64	1.16.0-7
libcamd2:amd64	1:5.12.0+dfsg-2
libcap-ng0:amd64	0.8.3-1+b3
libcap2-bin	1:2.66-4+deb12u2
libcap2:amd64	1:2.66-4+deb12u2
libcbor0.8:amd64	0.8.0-2+b1
libcc1-0:amd64	12.2.0-14+deb12u1
libccolamd2:amd64	1:5.12.0+dfsg-2
libcdi-api-java	1.2-3
libcdt5:amd64	2.42.2-7+deb12u1
libcgraph6:amd64	2.42.2-7+deb12u1
libcholmod3:amd64	1:5.12.0+dfsg-2
libclang-cpp14	1:14.0.6-12
libclang-cpp15	1:15.0.6-4+b1
libclang1-15	1:15.0.6-4+b1
libclojure-java	1.11.1-2
libcolamd2:amd64	1:5.12.0+dfsg-2
libcolord2:amd64	1.4.6-2.2
libcom-err2:amd64	1.47.0-2+b2
libcombblas1.16.0:amd64	1.6.2-8
libcommon-sense-perl:amd64	3.75-3
libcommons-beanutils-java	1.9.4-1+deb12u1
libcommons-cli-java	1.5.0-1
libcommons-codec-java	1.15-1
libcommons-collections3-java	3.2.2-2
libcommons-compress-java	1.22-1
libcommons-configuration-java	1.10-6
libcommons-digester-java	1.8.1-5
libcommons-io-java	2.11.0-2
libcommons-lang-java	2.6-10+deb12u1
libcommons-lang3-java	3.12.0-2+deb12u1
libcommons-logging-java	1.2-3
libcommons-parent-java	56-1
libcommons-text-java	1.10.0-1
libcommons-validator-java	1:1.7-1
libcoq-core-ocaml	8.16.1+dfsg-1+b2
libcoq-stdlib	8.16.1+dfsg-1+b2
libcore-specs-alpha-clojure	0.2.62-1
libcrypt-dev:amd64	1:4.4.33-2
libcrypt1:amd64	1:4.4.33-2
libcryptsetup12:amd64	2:2.6.1-4~deb12u2
libctf-nobfd0:amd64	2.40-2
libctf0:amd64	2.40-2
libcups2:amd64	2.4.2-3+deb12u9
libcurl3-gnutls:amd64	7.88.1-10+deb12u14
libcurl3-nss:amd64	7.88.1-10+deb12u14
libcurl4-openssl-dev:amd64	7.88.1-10+deb12u14
libcurl4:amd64	7.88.1-10+deb12u14
libcxsparse3:amd64	1:5.12.0+dfsg-2
libdatrie-dev:amd64	0.2.13-2+b1
libdatrie1:amd64	0.2.13-2+b1
libdav1d6:amd64	1.0.0-2+deb12u1
libdb5.3:amd64	5.3.28+dfsg2-1
libdbus-1-3:amd64	1.14.10-1~deb12u1
libdconf1:amd64	0.40.0-4
libde265-0:amd64	1.0.11-1+deb12u2
libdebconfclient0:amd64	0.270
libdeflate-dev:amd64	1.14-1
libdeflate0:amd64	1.14-1
libdevmapper1.02.1:amd64	2:1.02.185-2
libdom4j-java	2.1.3-2
libdouble-conversion3:amd64	3.2.1-1
libdoxia-core-java	1.12.0-1
libdoxia-java	1.12.0-1
libdoxia-sitetools-java	1.11.1-1
libdrm-amdgpu1:amd64	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-intel1:amd64	2.4.114-1+b1
libdrm-nouveau2:amd64	2.4.114-1+b1
libdrm-radeon1:amd64	2.4.114-1+b1
libdrm2:amd64	2.4.114-1+b1
libedit2:amd64	3.1-20221030-2
libegl-dev:amd64	1.6.0-1
libegl-mesa0:amd64	22.3.6-1+deb12u1
libegl1:amd64	1.6.0-1
libelf1:amd64	0.188-2.1
libenet7:amd64	1.3.17+ds-2
libepoxy0:amd64	1.5.10-1
liberror-perl	0.17029-2
liberror-prone-java	2.18.0-1
libevdev2:amd64	1.13.0+dfsg-1
libevent-2.1-7:amd64	2.1.12-stable-8
libevent-core-2.1-7:amd64	2.1.12-stable-8
libevent-dev	2.1.12-stable-8
libevent-extra-2.1-7:amd64	2.1.12-stable-8
libevent-openssl-2.1-7:amd64	2.1.12-stable-8
libevent-pthreads-2.1-7:amd64	2.1.12-stable-8
libexpat1-dev:amd64	2.5.0-1+deb12u2
libexpat1:amd64	2.5.0-1+deb12u2
libext2fs2:amd64	1.47.0-2+b2
libfabric1:amd64	1.17.0-3
libfdisk1:amd64	2.38.1-5+deb12u3
libffi-dev:amd64	3.4.4-1
libffi8:amd64	3.4.4-1
libfftw3-double3:amd64	3.3.10-1
libfftw3-long3:amd64	3.3.10-1
libfftw3-mpi3:amd64	3.3.10-1
libfftw3-single3:amd64	3.3.10-1
libfido2-1:amd64	1.12.0-2+b1
libfile-find-rule-perl	0.34-4~deb12u1
libfindlib-ocaml	1.9.6-1+b1
libflac12:amd64	1.4.2+ds-2
libfltk-gl1.3:amd64	1.3.8-5
libfltk1.3:amd64	1.3.8-5
libfontbox2-java	2.0.27-2
libfontconfig-dev:amd64	2.14.1-4
libfontconfig1:amd64	2.14.1-4
libfontenc1:amd64	1:1.1.4-1
libfop-java	1:2.8-2
libfreetype-dev:amd64	2.12.1+dfsg-5+deb12u4
libfreetype6:amd64	2.12.1+dfsg-5+deb12u4
libfribidi-dev:amd64	1.0.8-2.1
libfribidi0:amd64	1.0.8-2.1
libfstrm0:amd64	0.6.1-1
libgav1-1:amd64	0.18.0-1+b1
libgbm1:amd64	22.3.6-1+deb12u1
libgc-dev:amd64	1:8.2.2-3
libgc1:amd64	1:8.2.2-3
libgcc-12-dev:amd64	12.2.0-14+deb12u1
libgcc-s1:amd64	12.2.0-14+deb12u1
libgcrypt20:amd64	1.10.1-3
libgd3:amd64	2.3.3-9
libgdbm-compat4:amd64	1.23-3
libgdbm6:amd64	1.23-3
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf-2.0-dev:amd64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgeronimo-annotation-1.3-spec-java	1.3-1
libgeronimo-interceptor-3.0-spec-java	1.0.1-4
libgfortran-12-dev:amd64	12.2.0-14+deb12u1
libgfortran5:amd64	12.2.0-14+deb12u1
libgirepository-1.0-1:amd64	1.74.0-3
libgit2-1.5:amd64	1.5.1+ds-1+deb12u1
libgl-dev:amd64	1.6.0-1
libgl1-mesa-dri:amd64	22.3.6-1+deb12u1
libgl1:amd64	1.6.0-1
libgl2ps1.4	1.4.2+dfsg1-2
libglapi-mesa:amd64	22.3.6-1+deb12u1
libglib2.0-0:amd64	2.74.6-2+deb12u9
libglib2.0-bin	2.74.6-2+deb12u9
libglib2.0-data	2.74.6-2+deb12u9
libglib2.0-dev-bin	2.74.6-2+deb12u9
libglib2.0-dev:amd64	2.74.6-2+deb12u9
libglpk40:amd64	5.0-1
libglu1-mesa-dev:amd64	9.0.2-1.1
libglu1-mesa:amd64	9.0.2-1.1
libglvnd0:amd64	1.6.0-1
libglx-dev:amd64	1.6.0-1
libglx-mesa0:amd64	22.3.6-1+deb12u1
libglx0:amd64	1.6.0-1
libgmp-dev:amd64	2:6.2.1+dfsg1-1.1
libgmp10:amd64	2:6.2.1+dfsg1-1.1
libgmpxx4ldbl:amd64	2:6.2.1+dfsg1-1.1
libgnutls30:amd64	3.7.9-2+deb12u5
libgomp1:amd64	12.2.0-14+deb12u1
libgpg-error0:amd64	1.46-1
libgpm2:amd64	1.20.7-10+b1
libgprofng0:amd64	2.40-2
libgraphicsmagick++-q16-12	1.4+really1.3.40-4+deb12u1
libgraphicsmagick-q16-3	1.4+really1.3.40-4+deb12u1
libgraphite2-3:amd64	1.3.14-1
libgraphite2-dev:amd64	1.3.14-1
libgssapi-krb5-2:amd64	1.20.1-2+deb12u4
libgtk-3-0:amd64	3.24.38-2~deb12u3
libgtk-3-common	3.24.38-2~deb12u3
libgtk2.0-0:amd64	2.24.33-2+deb12u1
libgtk2.0-common	2.24.33-2+deb12u1
libgtk2.0-dev:amd64	2.24.33-2+deb12u1
libgts-0.7-5:amd64	0.7.6+darcs121130-5+b1
libguava-java	31.1-1
libgudev-1.0-0:amd64	237-2
libguice-java	4.2.3-2
libgumbo1:amd64	0.10.1+dfsg-5
libgvc6	2.42.2-7+deb12u1
libgvpr2:amd64	2.42.2-7+deb12u1
libharfbuzz-dev:amd64	6.0.0+dfsg-3
libharfbuzz-gobject0:amd64	6.0.0+dfsg-3
libharfbuzz-icu0:amd64	6.0.0+dfsg-3
libharfbuzz-subset0:amd64	6.0.0+dfsg-3
libharfbuzz0b:amd64	6.0.0+dfsg-3
libhawtjni-runtime-java	1.18-1
libhdf5-103-1:amd64	1.10.8+repack1-1
libhdf5-openmpi-103-1:amd64	1.10.8+repack1-1
libheif1:amd64	1.15.1-1+deb12u1
libhogweed6:amd64	3.8.1-2
libhttp-parser2.9:amd64	2.9.4-5
libhttpclient-java	4.5.14-1
libhttpcore-java	4.4.16-1
libhwloc-plugins:amd64	2.9.0-1
libhwloc15:amd64	2.9.0-1
libhwy1:amd64	1.0.3-3+deb12u1
libhypre-2.26.0:amd64	2.26.0-3
libibverbs1:amd64	44.0-2
libice-dev:amd64	2:1.0.10-1
libice6:amd64	2:1.0.10-1
libicu-dev:amd64	72.1-3+deb12u1
libicu72:amd64	72.1-3+deb12u1
libidn2-0:amd64	2.3.3-1+b1
libinput-bin	1.22.1-1+deb12u1
libinput10:amd64	1.22.1-1+deb12u1
libip4tc2:amd64	1.8.9-2
libip6tc2:amd64	1.8.9-2
libisl23:amd64	0.25-1.1
libitext1-java	1.4-7
libitm1:amd64	12.2.0-14+deb12u1
libjack-jackd2-0:amd64	1.9.21~dfsg-3
libjansi-java	2.4.0-2
libjansi-native-java	1.8-1
libjansi1-java	1.18-3
libjansson4:amd64	2.14-2
libjaxen-java	1.1.6-4
libjaxp1.3-java	1.3.05-6
libjbig-dev:amd64	2.1-6.1
libjbig0:amd64	2.1-6.1
libjemalloc2:amd64	5.3.0-1
libjetbrains-annotations-java	23.0.0-2
libjline2-java	2.14.6-5
